customer_msg,agent_msg
아니 가이드가 한국말을 너무 못해서 뭔소린지 하나도 모르겠어 바꿔줘요,"지금 손님들이 현지 가이드분 한국어 소통 문제로 컴플레인이 좀 있으시네요 ㅠㅠ 혹시 내일 일정부터는 한국어 능통하신 분으로 교체 가능할까요? 부탁드립니다."
우리 애가 갑자기 열이 펄펄 끓어서 내일 호핑투어는 못갈거같은데 환불 되나요?,"내일 호핑투어 예약된 김철수님 팀 아동이 갑자기 고열이라 투어 참여가 어렵다고 하십니다. 긴급 취소 건인데 혹시 환불 규정 어떻게 적용될지 확인해주실 수 있을까요?"
마지막날 공항 가기전에 쇼핑센터 들렀다 가도 되죠?,"손님들이 귀국일 공항 가기 전에 쇼핑센터 잠깐 들르고 싶어 하시는데 동선이랑 시간 괜찮을까요? 확인 부탁드려요~"
비행기표 아직 멀었나요? 여권 보낸지가 언젠데,"아까 보내드린 여권으로 항공권 발권 진행 중이실까요? 손님이 기다리고 계셔서 E-티켓 나오는 대로 바로 전달 좀 부탁드릴게요!"
다낭 픽업 차량 기사님 팁은 얼마나 줘야 하나요?,손님들이 공항 픽업 기사님 팁을 따로 챙겨드려야 하는지 물어보시네요. 보통 얼마 정도 안내하면 될까요?
호텔 조식 포함인가요? 애들은 공짜죠?,"이번에 예약한 리조트 조식 포함 여부랑 아동 조식 비용 규정 다시 한번만 확인 부탁드릴게요. 손님이 무료인지 궁금해하셔서요."
골프장 카트비랑 캐디피는 가서 내면 되나요? 달러로 받나요?,"골프장 카트비랑 캐디피 현장 지불 맞죠? 손님들이 달러로 준비해가야 하는지 현지 화폐로 해야 하는지 물어보시는데 확인 좀 부탁드려요."
방금 공항 도착했는데 가이드가 안보여요 어디있는거에요,"지금 손님들 공항 도착하셨다는데 미팅 보드 든 가이드분을 못 찾고 계신대요. 가이드분 위치 확인해서 손님께 바로 연락 좀 부탁드릴게요!"
내일 마사지 예약 시간을 좀 늦출 수 있을까요? 저녁 먹고 천천히 가고 싶은데,"내일 마사지 예약 시간을 저녁 식사 후로 변경 원하시는데 8시쯤으로 조정 가능할까요? 샵 스케줄 확인 부탁드립니다."
여기 호텔 수영장 물이 너무 더러워요 애들 놀게 못되는데 방 바꿔주던지 환불해줘요,"지금 투숙 중인 호텔 수영장 수질 문제로 손님 컴플레인이 심각합니다. 룸 변경이나 다른 조치가 가능할지 호텔 측에 강력하게 클레임 좀 넣어주세요."
가이드 팁은 하루에 얼마씩 주면 되나요? 의무인가요?,"가이드 경비 외에 매너 팁 관련해서 손님 문의가 있으신데, 보통 하루에 얼마 정도 권장하면 될까요? 의무 사항인지도 같이 확인 부탁드려요."
패키지 일정이 너무 빡빡해서 힘드네요 내일 오전 일정은 좀 빼주세요,"손님들이 일정이 너무 타이트하다고 힘들어하시네요 ㅠㅠ 내일 오전 일정은 스킵하고 호텔에서 좀 쉬시게 조정 가능할까요?"
현지에서 유심칩 살 수 있는데 알려주세요 로밍을 안해와서,"손님들이 로밍을 안 해오셔서 현지 유심 구매처를 찾으시네요. 가이드분 통해서 구매 도와드릴 수 있을까요?"
식당 밥이 입에 너무 안맞아요 향신료 냄새 때문에 못먹겠는데 한식으로 바꿔줘요,"손님들이 현지식 향신료 때문에 식사를 거의 못 하셨다고 하네요 ㅠㅠ 내일 점심은 혹시 한식당으로 변경 가능할까요?"
옵션 투어 강요 안한다고 했는데 가이드가 자꾸 눈치주네요 기분 나빠서 여행 못하겠어요,"가이드분이 옵션 투어 권유를 좀 강하게 하셨나 봐요. 손님들이 불편해하시는데 가이드분께 살짝 언질 좀 부탁드려요. 강요 느낌 안 들게 신경 써달라고요 ㅠㅠ"
호텔 방에서 바다가 하나도 안보여요 오션뷰로 예약한거 아니에요?,"손님들이 배정받은 객실이 오션뷰가 아니라고 하시네요. 예약 시 오션뷰로 요청드렸던 건인데 혹시 룸 변경 가능할지 호텔 프론트랑 확인 좀 부탁드릴게요."
내일 골프 티업 시간 7시 너무 빨라요 9시쯤으로 안될까요?,"내일 골프 티업 시간이 7시라 손님들이 너무 이르다고 하시네요. 혹시 9시 전후로 시간 변경 가능할지 골프장 체크 한번 부탁드립니다."
쇼핑센터 방문 횟수 좀 줄여주세요 살것도 없는데 시간 아까워요,"손님들이 쇼핑센터 방문 횟수 때문에 불만이 좀 있으세요. 남은 일정에서 쇼핑 1회 정도는 줄이거나 시간 단축 가능할까요?"
귀국편 비행기 좌석 붙여서 갈 수 있게 해주세요,"귀국편 항공 좌석 사전 지정 가능한가요? 일행분들 떨어지지 않게 붙여서 배정되도록 신경 좀 써주세요~"
호텔에 엑스트라 베드 추가해달라고 했는데 아직도 안왔어요,"체크인하신 지 좀 됐는데 요청한 엑스트라 베드가 아직 세팅 안 됐다고 하시네요. 호텔 측에 다시 한번 푸시 부탁드려요!"
저녁에 자유시간 때 갈만한 맛집 추천 좀 해주세요,"오늘 저녁 자유 일정 때 손님들이 가실 만한 현지 맛집 추천 좀 부탁드려요~ 가이드분 통해서 리스트 좀 전달해주시면 감사하겠습니다!"
비가 너무 많이 오는데 오늘 일정 그대로 진행하나요?,"현지 비가 많이 온다는데 오늘 투어 일정 그대로 진행되나요? 혹시 우천 시 대체 일정이나 취소 규정 어떻게 되는지 확인 부탁드려요."
