id,input_text,target_summary
1,"10월 12일 다낭 3박4일 견적 부탁드려요 항공 포함입니다","고객님 10월 12일 다낭 3박4일 항공 포함 견적은 1인 기준 98만원입니다"
2,"이번 주말 푸꾸옥 가는데 수영장 수온이 낮나요? 이용시간 알고 싶어요","고객님 푸꾸옥 리조트 수영장은 오전 8시~22시까지 운영하며 온수풀은 적용되지 않습니다"
3,"12월 오키나와 가족여행 가는데 카시타 객실 2개 가능한가요?","고객님 요청 날짜는 카시타 객실 2실 모두 가능하며 예약 진행 도와드릴 수 있습니다"
4,"라운드 2회 포함으로 방콕 패키지 가능한가요? 견적 주세요","고객님 방콕 라운드 2회 포함 패키지는 1인 125만원부터 가능합니다"
5,"3월 출발 코타키나발루 항공 지연 많다던데 일정 문제 없을까요?","고객님 해당 노선은 지연 가능성은 있으나 정상 운항 기준으로 안내드립니다"
6,"4월 5일 출발 세부 5박 패키지 취소하면 수수료 어떻게 되나요?","고객님 출발 30일 전 취소 시 1인 10만원의 취소 수수료가 발생합니다"
7,"2명 출발인데 다낭 반미투어 추가하면 1인 얼마인가요?","고객님 다낭 반미투어 추가 시 1인 3만원 추가됩니다"
8,"치앙마이 하이랜드 골프 중 캐디팁 포함인가요?","고객님 캐디피는 포함이며 캐디팁은 별도 1인 400바트 발생합니다"
9,"12월 발리 가는데 리조트 레이트체크아웃 가능한지 물어봐주세요","고객님 요청 일정은 레이트체크아웃 가능하며 추가비용은 6만원입니다"
10,"5월 오사카 호텔 조식 포함 옵션으로 변경해주세요","고객님 조식 포함 상품으로 변경 완료되었습니다"
11,"다낭 미팅샌딩 비용 현장 결제 가능한가요?","고객님 미팅샌딩 비용은 현장 결제 가능하며 현금/카드 모두 가능합니다"
12,"후쿠오카 3박 일정인데 렌터카 포함 상품 있나요?","고객님 후쿠오카 렌터카 포함상품 있으며 1인 78만원부터 시작합니다"
13,"대만, 어린이 동반 4명인데 패밀리 룸 추천해주세요","고객님 4인 이용 시 패밀리룸 또는 트리플+엑스트라베드 조합 추천드립니다"
14,"3월 싱가포르 출장인데 시내 호텔로 변경해주세요","고객님 요청하신 일정 시내 호텔로 변경 완료했습니다"
15,"11월 다낭 패키지에 스파 포함되나요?","고객님 해당 패키지는 스파 1회 포함입니다"
16,"유심 대신 eSIM 가능한가요? 현지 설치 쉬운지 궁금해요","고객님 eSIM 사용 가능하며 QR 설치 방식으로 간단하게 이용 가능합니다"
17,"1월 치앙마이 4명인데 라운딩 3회 일정 추천해주세요","고객님 4박6일 기준 라운딩 3회 일정 추천드리며 1인 145만원입니다"
18,"세부 샹그릴라 키즈클럽 무료인가요?","고객님 키즈클럽은 투숙객 무료 이용 가능합니다"
19,"5월 발리 6박인데 인근 마사지샵 추천해주실 수 있나요?","고객님 꾸따 지역 아유마사지샵 추천드리며 호텔에서 차량 10분 거리입니다"
20,"프놈펜에서 시엠립 이동은 버스 말고 다른 옵션 있나요?","고객님 항공 이동도 가능하며 약 45분 소요됩니다"
21,"1월 방콕 성수기라는데 룸 업그레이드 될까요?","고객님 업그레이드는 체크인 시 가능 여부 확인됩니다"
22,"괌 PIC 리조트 워터파크 외부인 입장 되나요?","고객님 PIC 워터파크는 투숙객 전용이며 외부인은 입장 불가합니다"
23,"6월 타이베이 면세쇼핑 쿠폰 있나요?","고객님 면세쿠폰 제공 가능하며 예약 후 전달드리겠습니다"
24,"훈룽호텔 조식 추가하면 비용 얼마죠?","고객님 조식 추가 시 1인 18,000원입니다"
25,"비엣젯 항공 위탁수하물 15kg면 충분할까요?","고객님 일반 여행 기준 15kg면 무난하나 쇼핑 계획 있으시면 20kg 추천드립니다"
26,"4월 일본 벚꽃 시즌 여행 취소 규정 문의드립니다","고객님 출발일 기준 D-30 이전 취소 시 수수료 없이 가능하며 이후는 차등 발생입니다"
27,"다낭 2박3일 너무 짧을까요? 일정 괜찮나요?","고객님 2박3일도 가능하나 휴식+관광 포함 원하시면 3박 이상 추천드립니다"
28,"푸켓 5성급 리조트 추천해주세요","고객님 반얀트리/아만푸리 계열 추천드립니다"
29,"보라카이 화이트비치 근처 숙소 추천해주세요","고객님 1선 beachfront 기준 헤난/크림슨 추천드립니다"
30,"괌 아이들과 풀 이용시 튜브 렌탈 되나요?","고객님 현장 렌탈 가능하며 1개 5달러입니다"
31,"후쿠오카 유후인 당일치기 가능할까요?","고객님 왕복 기준 당일 가능하나 이동시간 길어 오전 출발 추천드립니다"
32,"3월 오키나와 골프 1인 싱글차지 얼마인가요?","고객님 싱글차지 1인 8만원 추가 발생합니다"
33,"10월 사연 호텔 오션뷰로 변경 됩니까?","고객님 오션뷰 차액 1인 4만원 추가됩니다"
34,"4명 가족 다낭 가는데 키즈 프라이빗 차량 이용 가능?","고객님 프라이빗 차량 이용 가능하며 6인승 기준 1일 7만원입니다"
35,"방콕 공항 픽업서비스 23시 도착도 가능해요?","고객님 심야픽업 가능하며 추가요금 2만원 발생합니다"
36,"사이판 현지 PCR 필요하나요?","고객님 현 기준 PCR 불필요합니다"
37,"3월 세부 악어농장 투어 추가 가능한가요?","고객님 투어 추가 가능하며 1인 4만원입니다"
