id,input_text,target_summary
1,9월 19일 인천 출발 아오모리 와이너리 호텔 2명 견적 부탁드려요 항공 포함해서요,고객님 9월 19일 아오모리 와이너리 호텔 4박 5일 항공 포함 견적은 1인 168만 8천원입니다
2,혹시 10월 9일 다낭 가는데 비 오면 라운딩 취소되나요? 환불 규정이 궁금해요,고객님 동남아 지역은 비가 와도 라운딩이 취소되지 않으며 임의 취소 시 환불은 불가합니다
3,치앙마이 하이랜드 12월 21일 4박 6일 일정인데 트윈룸 말고 더블룸으로 바꿔주세요,고객님 12월 21일 하이랜드 리조트 트윈룸은 마감이라 더블룸으로 변경해 드렸습니다
4,손님 여권 만료일이 2달 남았는데 지금 항공권 발권 못하나요? 재발급은 30일에 나옵니다,고객님 구여권 영문명으로 먼저 발권하시고 신여권 정보는 출발 전까지 입력해주시면 됩니다
5,파타야 아카라 호텔 3명이서 가는데 방 하나에 엑스트라 베드 추가하면 얼마인가요? 3인 요금 알려주세요,고객님 3인 1실 이용 시 1인당 요금은 2인실 이용 시와 동일하며 엑스트라 베드가 추가됩니다
6,제가 어제 항공권 끊으면서 위탁 수하물 신청을 깜빡했는데 지금 추가 결제 가능한가요? 내일 출발이에요,고객님 출발 24시간 전이라면 항공사 콜센터를 통해 사전 수하물 추가 결제가 가능합니다
7,베트남 다낭 가는데 미팅 샌딩비는 4명 합쳐서 50불인가요 아니면 1인당 50불인가요?,고객님 미팅 샌딩비는 4인 기준 차량 1대당 50불이 아니라 1인당 50불씩 총 200불입니다
8,일본 구마모토 골프 여행 가는데 석석 패턴 말고 조조 패턴으로 항공 변경하면 가격 차이 많이 나나요?,고객님 조조 패턴으로 변경 시 1인당 약 15만원 정도 항공료가 추가될 수 있습니다
9,8월 29일 라마다 호텔 숙박하는 김태일님인데 제주 도민이라 렌트카 인수할 때 본인 차 주차해두고 가도 되나요?,고객님 렌트카 회사 규정상 개인 차량 주차는 불가하므로 인근 주차장을 이용하셔야 합니다
10,12월 24일 크리스마스에 라운딩 끝나고 저녁에 갈라디너 꼭 참석해야 하나요? 비용 빼고 안 먹으면 안 되나요?,고객님 크리스마스이브는 갈라디너가 의무 포함이라 참석 여부와 관계없이 비용은 지불하셔야 합니다
11,혹시 이번에 엘리시안 에어레이션 작업 한다던데 9월 18일에 가면 그린 상태 많이 안 좋을까요?,고객님 에어레이션 작업 직후라 그린에 모래가 좀 있을 수 있어 퍼팅 시 불편하실 수 있습니다
12,강미자님 렌트카 배터리가 방전돼서 티업 시간 늦었다고 렌트카 회사에 손해배상 청구해달라고 하시네요,고객님 해당 건은 렌트카 업체와 직접 협의하셔야 하며 저희가 중재해 드리겠습니다
13,11월 6일 강현주님 팀 12명인데 한 명이 아파서 못 간대요 1명만 취소하고 환불 가능한가요?,고객님 항공권은 취소 수수료가 발생하며 지상비는 남은 인원이 분담하셔야 합니다
14,다낭 골프장에서는 캐디팁을 달러로 주나요 아니면 베트남 동으로 주나요? 얼마 정도 주면 적당한가요?,고객님 캐디팁은 18홀 기준 30만~40만동 또는 15~20달러 정도 주시면 적당합니다
15,혹시 7월 5일 핀크스 2인 조인 되나요? 예전에는 됐던 것 같은데 지금은 안 되나요?,고객님 현재 핀크스는 2인 조인 예약을 받지 않고 있어 다른 구장으로 안내해 드려야 합니다
16,김수경님 항공권 티웨이로 발권됐는데 무료 수하물 15kg 맞나요? 20kg인 줄 알았는데 확인 좀 해주세요,고객님 티웨이 항공은 기본 15kg이며 20kg가 필요하시면 사전 추가 구매하셔야 합니다
17,11월 9일 12명이 배 타고 제주도 들어가는데 미니버스 카운티 기사님 포함해서 견적 좀 주세요,고객님 12인 미니버스 기사님 포함 2일 일정으로 견적서 보내드렸습니다 확인 부탁드려요
18,김형표님 5월 1일 오라CC에서 비 와서 9홀만 치고 나오셨다는데 정산금 언제 들어오나요?,고객님 우천 환불금은 골프장 정산 후 오늘 오후 중으로 입금될 예정입니다
19,혹시 일본 사츠마 리조트 내년 1월 15일 출발 4박 5일 견적 미리 받을 수 있을까요?,고객님 사츠마 리조트 1월 요금은 11월 1일에 확정되므로 그때 다시 안내해 드리겠습니다
20,다낭 호이아나 골프장 갈 때 호텔에서 셔틀버스 운행하나요? 아니면 개별 이동해야 하나요?,고객님 뉴월드 호텔에서 호이아나 골프장까지 무료 셔틀버스가 운행되니 이용하시면 됩니다
21,정은미님 렌트카 반납 시간을 19시 30분으로 늦추고 싶은데 야간 배차비 추가되나요?,고객님 20시 이전 반납이라 야간 배차비는 없으며 연장 요금만 추가하시면 됩니다
22,혹시 10월 26일 아덴힐 티업 시간 12시 말고 오전 8시대로 변경 가능한가요?,고객님 10월 26일 아덴힐 8시대는 이미 마감이라 대기 예약만 가능합니다
23,지금 보내주신 견적서 입금가인가요 판매가인가요? 저희 수수료는 얼마나 되나요?,고객님 보내드린 견적은 판매가 기준이며 입금가는 인당 5만원 제외한 금액입니다
24,11월 23일 대구 출발 12명인데 4명은 먼저 가고 8명은 다음날 합류하는 일정으로 견적 짜주세요,고객님 선발대 4명과 후발대 8명 일정을 분리하여 각각 견적서 보내드렸습니다
25,제주 신라스테이 이호테우 호텔 새로 생겼다던데 거기로 숙소 잡고 패키지 가능한가요?,고객님 신라스테이 이호테우 포함 패키지 가능하며 견적은 1인당 80만원 정도 예상됩니다
26,혹시 오늘이나 내일 급하게 2명 조인 들어갈 수 있는 구장 있을까요? 아무 데나 상관없어요,고객님 내일 크라운CC 12시대에 2인 조인 가능한 티가 딱 하나 남아있습니다
27,10월 22일 청주 출발 조철님 항공편이 마땅치 않은데 김포 출발로 바꾸면 견적 어떻게 되나요?,고객님 김포 출발로 변경 시 항공료가 인상되어 전체 견적이 약 5만원 정도 올라갑니다
28,장경섭님 렌트카 자차 보험료 현장에서 내기 번거로우시다고 미리 선결제 하고 싶어 하세요,고객님 원칙은 현장 결제이나 번거로우시면 저희 쪽으로 입금해주시면 대납해 드리겠습니다
29,8월 6일 정세환님 팀 블랙스톤 호텔 1박은 무조건 해야 하고 나머지는 가성비 좋은 곳으로 섞어주세요,고객님 1박은 블랙스톤 1박은 가성비 호텔로 구성하여 견적 보내드렸습니다
30,12월 19일 에코랜드 2인 노캐디로 치고 싶은데 2인 플레이 가능한가요 아니면 3인 요금 내야 하나요?,고객님 에코랜드는 2인 노캐디 플레이가 가능하며 2인 요금만 내시면 됩니다
31,11월 6일 사이프러스 대중제로 치고 싶은데 그날 대회 있다고 하셨잖아요 그럼 회원제로 바꾸면 얼마 추가돼요?,고객님 11월 6일 사이프러스 회원제로 변경 시 1인당 2만원의 추가 요금이 발생합니다
32,이영희님 9월 11일 출발인데 렌트카 차종을 카니발 말고 쏠라티 기사 포함으로 바꾸면 견적 얼마나 오르나요?,고객님 쏠라티 기사 포함으로 변경 시 1일당 약 15만원 정도 차량 비용이 추가됩니다
33,혹시 8월 19일 여수 경도CC 1박 2일 패키지 8명 가능한가요? 골프텔 포함해서요?,고객님 8월 19일 여수 경도CC 8명 골프텔 패키지 예약 가능하며 견적서 보내드리겠습니다
34,소동철님 11월 5일 롯데스카이힐 티업 시간이 7시 35분인데 혹시 8시대로 조금 늦춰줄 수 있나요?,고객님 8시대 티업은 이미 마감이라 현재 7시 35분이 가장 늦은 시간입니다
35,박상선님 티웨이 항공 날짜가 잘못 예약된 것 같아요 26일 리턴인데 확인 좀 해주세요,고객님 확인해 보니 날짜 오류가 맞습니다 즉시 26일 리턴으로 변경 처리하겠습니다
36,10월 27일 청주 출발 라온+에버리스+라헨느 2박 3일 8명 견적 주세요 숙소는 더원호텔로요,고객님 요청하신 구장과 더원호텔 조합으로 2박 3일 8명 견적서 발송했습니다
37,유지현님 10월 20일 사이프러스랑 롯데스카이힐 예약했는데 개인 사정으로 구장만 다 취소하고 위약금 물 수 있나요?,고객님 임박 취소라 위약금이 100% 발생할 수 있는데 괜찮으신가요?
38,11월 30일 김상수님 4명 블랙스톤 테디밸리 포함해서 견적 부탁드립니다 렌트카랑 숙소도 다 포함해서요,고객님 11월 30일 블랙스톤과 테디밸리 포함 풀패키지 견적 1인 85만원입니다
39,혹시 9월 3일 대구 출발 장경섭님 조인 아직 안 됐나요? 2주 남았는데 안 되면 2인 플레이로 확정해 주세요,고객님 아직 조인이 안 되어서 2인 플레이로 확정하고 추가금 안내해 드리겠습니다
40,김동철님 부산 출발 항공편 에어부산 예약번호가 6자리가 아니고 이상한데 다시 확인해 주실 수 있나요?,고객님 에어부산 예약번호 다시 확인하여 정확한 6자리 코드 보내드리겠습니다
41,8월 2일 정은미님 에버리스 1부 조인 구해졌나요? 안 구해지면 그냥 2인 플레이 하신다고 합니다,고객님 에버리스 1부 조인이 아직이라 2인 플레이로 확정하고 진행하겠습니다
42,12월 5일 우성현님 김포 출발 에코랜드 1박 2일 4명 항공 숙박 렌트 골프 싹 다 해서 견적 주세요,고객님 12월 5일 에코랜드 1박 2일 4인 항공 포함 풀패키지 견적은 1인 45만원입니다
43,혹시 제주도 말고 일본 오사카나 후쿠오카 쪽으로 2월달 골프 패키지 나온 거 있나요?,고객님 2월 일본 골프 패키지는 아직 요금 미정이라 나오면 바로 알려드리겠습니다
44,10월 11일 김종기님 숙소를 서귀포 말고 제주시내 쪽에 있는 크라운 호텔로 변경하면 견적 얼마나 빠지나요?,고객님 숙소를 제주시내 크라운 호텔로 변경하시면 1인당 약 3만원 정도 저렴해집니다
45,지금 보내주신 5월 1일 김형표님 견적에서 렌트카만 K5 말고 그랜저로 업그레이드해서 다시 보내주세요,고객님 렌트카를 그랜저로 변경하여 수정한 견적서 다시 보내드렸습니다
46,8월 29일 라헨느 14시 20분 티업인데 라이트 경기 해야 하나요? 손님이 어두워질까 봐 걱정하세요,고객님 14시 20분 티업이면 후반 몇 홀은 라이트 경기를 하셔야 할 수도 있습니다
47,11월 18일 윤복기님 더시에나 라헨느 조인 확정됐나요? 입금하려고 하는데 계좌번호 다시 알려주세요,고객님 조인 확정되었으며 입금 계좌는 우리은행 1005-804-076763 입니다
48,9월 22일 광주 출발 2명인데 아덴힐이나 우리들 말고 시에나 급으로 좋은 구장 원하세요 견적 좀 주세요,고객님 광주 출발 2인 시에나와 블랙스톤으로 구성된 상급 패키지 견적입니다
49,10월 14일 4564님 미니버스 예약했는데 이거 기사님 팁 별도인가요 아니면 포함인가요?,고객님 미니버스 요금에 기사님 수고비와 식대 등 팁은 모두 포함되어 있습니다
50,혹시 7월 25일 김포 출발 2박 3일 2명 항공권 남은 거 있나요? 티몬 때문에 취소표 나왔다고 들었는데,고객님 현재 7월 25일 김포 출발 항공권 잔여석이 2석 확인되어 바로 예약 가능합니다
51,11월 9일 12명 단체 배 타고 들어오는데 렌트카 말고 픽업 샌딩만 해주는 차량 수배 가능한가요?,고객님 12명 단체 이동 가능한 쏠라티 픽업 샌딩 차량 수배해 드리겠습니다
52,김수경님 일행 중에 한 명이 신분증을 안 가져왔다는데 공항에서 등본 떼면 비행기 탈 수 있나요?,고객님 공항 무인민원발급기에서 등본을 발급받으시면 신분증 대용으로 탑승 가능합니다
53,8월 16일 감미자님 해비치 조인 모객 됐나요? 안 됐으면 그냥 3인 요금 내고 칠게요,고객님 아직 조인이 안 되어서 3인 요금 지불하시고 2인 플레이로 확정하겠습니다
54,혹시 10월 31일 이천우님 하얏트 호텔 예약 확정됐나요? 손님이 호텔 컨펌 번호 달라고 재촉하시네요,고객님 하얏트 호텔 예약 확정되었으며 컨펌 번호는 24097319 입니다
